amfi_code,annual_return_pct,annual_volatility_pct,sharpe_ratio,sortino_ratio,scheme_name,fund_house,sharpe_rank,sortino_rank
102887,16.262585496628816,15.758366917912934,0.6195175900829826,1.0887552508029967,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,22.0,22.0
120507,6.744844042758295,0.49391262595115715,0.49572339295190987,1.0521238822579861,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,23.0,23.0
120841,13.154784519779863,13.463795800784384,0.49427253786723085,0.8625738849916469,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,24.0,24.0
149322,13.16072849664985,14.353859818510442,0.4640374492204747,0.7621288703723081,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,25.0,25.0
118634,17.819156428927652,25.241520946340408,0.4484340089089892,0.7460146308533518,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,26.0,26.0
125498,12.016959264352991,18.35243008733572,0.30061192104254486,0.5088128197169164,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,27.0,27.0
101207,10.696212277360734,25.797322217077678,0.16266076928646747,0.2766437962609221,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,28.0,28.0
119093,8.312437838149473,13.983295593638795,0.12961449795668886,0.22108683979275506,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,29.0,29.0
120842,7.859995621336389,17.89471500657181,0.07599984804658429,0.12469346986474822,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,30.0,30.0
119092,6.929469030104371,13.950661341123768,0.0307848509545839,0.0525739855930443,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,31.0,31.0
119599,5.073186530232925,24.950125122855802,-0.057186625828181896,-0.09438726129459904,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,32.0,32.0
119095,4.595602382589969,25.066580232600376,-0.07597357117478931,-0.1281855927585191,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,33.0,33.0
120844,6.454444499822505,0.5133170487370698,-0.0887472962169809,-0.18772304774540488,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,34.0,34.0
100016,3.568302536201141,14.548134802183812,-0.20151706755966986,-0.35104746015230837,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,35.0,36.0
102886,2.7673310029606086,18.13457629731124,-0.20583160785470475,-0.3472223025472743,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,36.0,35.0
119120,5.601161309958991,3.96706236903381,-0.22657538662794546,-0.3767670081707111,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,37.0,37.0
118636,5.078639490464056,3.9855381553881983,-0.3566295075144003,-0.6135251287271505,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,38.0,38.0
100025,4.285355596222635,3.9052455281000995,-0.5670947928477084,-0.9418212366054451,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,39.0,39.0
101208,6.086966398607668,0.5064371352310262,-0.8155673679101643,-1.6810378667540928,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,40.0,40.0
